IT'S GOOD TIME TO MAKE PLANS
A YEAR FROM NOW IT WON'T MATTER
TAKE A CHANCE
KEEP IT TO YOURSELF
TRUST YOUR ORIGINAL THOUGHT
THE CHANCE WILL NOT COME AGAIN SOON
STRONG COMMITMENT WILL ACHIEVE GOOD RESULTS
DON'T WASTE YOUR TIME
LOVE YOURSELF
IT'LL COST YOU
MAKE A LIST OF WHY NOT
YOU'BE HAPPY YOU DID
THE ANSWER IS NO
THE ANSWER IS YES
THINK MORE 
FOCUSE ON DETAILS
THINGS IS NOT AS SIMPLE AS YOU THOUGHT
PROBABLY
DON'T BE EMOTIONAL
LET IT GO
